code,total_score,trend,reversion,volume,close,stop_loss,date
sh.605196,0.7,1.0,0.0,1.0,48.17,42.43,2026-02-25
sh.603989,0.7,1.0,0.0,1.0,19.0,17.99,2026-02-24
sz.000012,0.7,1.0,0.0,1.0,5.18,4.88,2026-02-25
sz.002562,0.7,1.0,0.0,1.0,7.94,7.22,2026-02-25
sh.603799,0.7,1.0,0.0,1.0,77.47,70.62,2026-02-25
sz.000422,0.7,1.0,0.0,1.0,18.07,16.6,2026-02-25
sh.603713,0.7,1.0,0.0,1.0,68.66,63.88,2026-02-25
sh.603727,0.7,1.0,0.0,1.0,17.86,16.56,2026-02-24
sh.603057,0.7,1.0,0.0,1.0,32.19,28.9,2026-02-25
sz.000795,0.7,1.0,0.0,1.0,10.87,10.23,2026-02-25
sz.000683,0.7,1.0,0.0,1.0,9.06,8.25,2026-02-25
sh.603055,0.7,1.0,0.0,1.0,9.88,9.43,2026-02-25
sz.300224,0.7,1.0,0.0,1.0,18.92,17.46,2026-02-25
sz.000581,0.7,1.0,0.0,1.0,23.54,22.36,2026-02-25
sz.300623,0.7,1.0,0.0,1.0,35.99,32.41,2026-02-25
sz.002678,0.7,1.0,0.0,1.0,6.15,5.55,2026-02-25
sz.002643,0.7,1.0,0.0,1.0,17.8,16.65,2026-02-25
sh.603336,0.7,1.0,0.0,1.0,10.0,9.21,2026-02-25
sz.002219,0.7,1.0,0.0,1.0,2.6,2.41,2026-02-25
sh.600507,0.7,1.0,0.0,1.0,6.64,6.18,2026-02-25
sz.002601,0.7,1.0,0.0,1.0,22.89,21.06,2026-02-25
sz.399366,0.7,1.0,0.0,1.0,3267.5525,3038.8,2026-02-25
sh.600585,0.7,1.0,0.0,1.0,26.38,24.89,2026-02-25
sz.002057,0.7,1.0,0.0,1.0,11.4,10.73,2026-02-25
sh.600500,0.7,1.0,0.0,1.0,4.72,4.39,2026-02-25
sh.600550,0.7,1.0,0.0,1.0,17.4,15.44,2026-02-25
sz.399440,0.7,1.0,0.0,1.0,1629.6068,1547.86,2026-02-25
sz.300054,0.7,1.0,0.0,1.0,47.31,43.35,2026-02-25
sz.300748,0.7,1.0,0.0,1.0,40.39,36.53,2026-02-25
sh.603072,0.7,1.0,0.0,1.0,44.38,41.56,2026-02-25
sz.000899,0.7,1.0,0.0,1.0,12.07,11.35,2026-02-25
sh.600096,0.7,1.0,0.0,1.0,43.3,39.83,2026-02-25
